id,pesid,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,ordem_tipo_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,id_veiculo,tipo_veiculo,marca,ano_fabricacao_veiculo,tipo_envolvido,estado_fisico,idade,sexo,ilesos,feridos_leves,feridos_graves,mortos,latitude,longitude,regional,delegacia,uop,marca_limpa,modelo,gravidade,regiao,hora,periodo
657926,1482717,2025-01-28,terça-feira,17:35:00,RS,116,"551,9",CAPAO DO LEAO,Sim,Ausência de reação do condutor,1,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,1183225,Motocicleta,HONDA/CG 150 TITAN ESD,2004,Passageiro,Lesões Leves,46,Masculino,0,1,0,0,-31.86859597,-52.61260502,SPRF-RS,DEL07-RS,UOP03-DEL07-RS,HONDA,CG 150 TITAN ESD,Leve,Sul,17,Tarde
670655,1513605,2025-03-31,segunda-feira,02:45:00,BA,407,"143,7",SENHOR DO BONFIM,Não,Condutor Dormindo,3,Queda de ocupante de veículo,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Reta;Aclive,Não,1207651,Caminhão-trator,SCANIA/R450 A6X2,2022,Condutor,Ileso,44,Masculino,1,0,0,0,-10.6026583,-40.1328067,SPRF-BA,DEL04-BA,UOP01-DEL04-BA,SCANIA,R450 A6X2,Sem Feridos,Nordeste,2,Madrugada
693369,1541777,2025-05-24,sábado,09:00:00,GO,60,366,RIO VERDE,Não,Velocidade Incompatível,5,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,1230007,Automóvel,FORD/FIESTA HA 1.5L S,2013,Passageiro,Lesões Leves,39,Feminino,0,1,0,0,-17.677562,-50.829735,SPRF-GO,DEL04-GO,UOP02-DEL04-GO,FORD,FIESTA HA 1.5L S,Leve,Centro-Oeste,9,Manhã
701526,1561285,2025-06-30,segunda-feira,09:00:00,CE,116,"193,9",LIMOEIRO DO NORTE,Não,Reação tardia ou ineficiente do condutor,2,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta;Rotatória,Não,1245868,Automóvel,I/FIAT SIENA EL FLEX,2011,Condutor,Ileso,71,Masculino,1,0,0,0,-5.150485,-38.155456,SPRF-CE,DEL03-CE,UOP01-DEL03-CE,I,FIAT SIENA EL FLEX,Sem Feridos,Nordeste,9,Manhã
667249,1505587,2025-03-14,sexta-feira,18:10:00,PR,376,"597,5",CURITIBA,Não,Velocidade Incompatível,1,Colisão traseira,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta;Aclive,Sim,1201130,Caminhão,FORD/CARGO 2422 E,2007,Condutor,Ileso,44,Masculino,1,0,0,0,-25.48197043,-49.34868835,SPRF-PR,DEL01-PR,UOP06-DEL01-PR,FORD,CARGO 2422 E,Sem Feridos,Sul,18,Noite
697806,1552266,2025-06-13,sexta-feira,07:55:00,RS,290,92,PORTO ALEGRE,Sim,Reação tardia ou ineficiente do condutor,2,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Não,1238556,Motocicleta,HONDA/CG 125 FAN KS,2011,Condutor,Lesões Leves,22,Masculino,0,1,0,0,-29.97116171,-51.18787162,SPRF-RS,DEL01-RS,UOP01-DEL01-RS,HONDA,CG 125 FAN KS,Leve,Sul,7,Manhã
654569,1473428,2025-01-12,domingo,05:45:00,PI,316,"38,1",LAGOA DO PIAUI,Sim,Ultrapassagem Indevida,2,Colisão frontal,Com Vítimas Fatais,Amanhecer,Crescente,Nublado,Simples,Reta,Não,1176872,Caminhonete,NISSAN/FRONTIER SVATK4X2,2015,Condutor,Óbito,52,Masculino,0,0,0,1,-5.398115,-42.655895,SPRF-PI,DEL01-PI,UOP02-DEL01-PI,NISSAN,FRONTIER SVATK4X2,Fatal,Nordeste,5,Manhã
700093,1557847,2025-06-23,segunda-feira,20:30:00,SP,116,219,GUARULHOS,Sim,Trafegar com motocicleta (ou similar) entre as faixas,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Múltipla,Reta,Não,1243063,Motocicleta,YAMAHA/FACTOR YBR125 K,2011,Condutor,Lesões Leves,26,Masculino,0,1,0,0,-23.46413221,-46.49657473,SPRF-SP,DEL01-SP,UOP01-DEL01-SP,YAMAHA,FACTOR YBR125 K,Leve,Sudeste,20,Noite
671331,1515363,2025-04-03,quinta-feira,18:20:00,RN,110,"47,7",MOSSORO,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Sim,1209116,Caminhonete,FIAT/STRADA ENDURANCE CS,2023,Condutor,Ileso,34,Masculino,1,0,0,0,-5.208,-37.331,SPRF-RN,DEL04-RN,UOP01-DEL04-RN,FIAT,STRADA ENDURANCE CS,Sem Feridos,Nordeste,18,Noite
686828,1525923,2025-04-23,quarta-feira,05:20:00,RJ,116,190,NOVA IGUACU,Sim,Iluminação deficiente,1,Colisão traseira,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Dupla,Reta,Sim,1217355,Motocicleta,HONDA/NXR160 BROS ESDD,2018,Condutor,Lesões Leves,64,Masculino,0,1,0,0,-22.73911471,-43.49475352,SPRF-RJ,DEL06-RJ,UOP01-DEL06-RJ,HONDA,NXR160 BROS ESDD,Leve,Sudeste,5,Manhã
